,id,username,fulltext,140_char_text,hashtags,url,domain,retweet_count,favorite_count,language,lat,lon,user_id,user_location,user_time_zone,user_follower_count,user_favorite_count,user_tweet_count,user_description,media,year,month,day,hour,minute,cards_pred,cards_pred_score,waterloo_cards_pred,waterloo_cards_score,date,cards_binary_pred
101495,1560485084356292608,J19855167Ryan,@mintyfresh1346 And energy dependence on other countries oil i.e. Russian oil and Saudi Arabian oil. which means you pay immense taxes on your fuel all in the name of climate change.,@mintyfresh1346 And energy dependence on other countries oil i.e. Russian oil and Saudi Arabian oil. which means yo… https://t.co/jO8voEbBu4,[],https://twitter.com/i/web/status/1560485084356292608,twitter.com,0,0,en,,,997831387766898688,,None,21,1874,2330,My political compass is that of a populist idk whether it’s left or right not any of the woke crowd pronouns no/thanks,,2022,8,19,4,33,4_2,0.5399478,1,0.9985758,2022-08-19,1
23077,1563406200813002753,ramonfritzphoto,"@elonmusk Ah yeah, no. I think we'll reach our demise far quicker through global warming. And... I say less population, I'm on that page. You only need to look around you to see how destructive we are. Name one unselfish thing we do for the planet.","@elonmusk Ah yeah, no. I think we'll reach our demise far quicker through global warming. And... I say less populat… https://t.co/WcPrdBr260",[],https://twitter.com/i/web/status/1563406200813002753,twitter.com,0,1,en,,,931829298134208512,"London, England",None,136,658,428,Fine Art Travel and Landscape Photography | Prints & Wall Art,,2022,8,27,6,0,0_0,0.9988515,0,0.99982804,2022-08-27,0
45356,1581213774274383872,KWachtershauser,"@pietercleppe Our Greens are crazy and they are politically very strong atm, because everyone got brainwashed so hard with climate change. Overcoming them will be the first major step for recovery.","@pietercleppe Our Greens are crazy and they are politically very strong atm, because everyone got brainwashed so ha… https://t.co/kEwyCZxUyv",[],https://twitter.com/i/web/status/1581213774274383872,twitter.com,0,0,en,,,1492242284729057286,Frankfurt am Main,None,88,5992,3827,Elektrotechniker / Nerd / Vermieter / Radfahrer / Frankfurter / Bekennender Anti-Ethnopluralist / Zwitscher Noob / Net Zero needs Nuclear for now,,2022,10,15,9,21,0_0,0.9961997,1,0.98953116,2022-10-15,0
88932,1535998996472385537,Jeder_Kann,@starkwatzinger Dann halt ohne euch… 🤷🏻‍♂️ die FDP leistet was genau? Ihr verstärkt mit eurer heißen Luft höchstens den Klimawandel.,@starkwatzinger Dann halt ohne euch… 🤷🏻‍♂️ die FDP leistet was genau? Ihr verstärkt mit eurer heißen Luft höchstens den Klimawandel.,[],,,0,0,de,,,1406927546,Im Zentrum Europas (fast),None,74,2480,4006,"Stillstand ist der Tod, geh voran, bleibt alles anders! (H.G.)finanz- und risikokompetent / Buy&Hold / #Benchmarkdepot / 🇪🇺 ProRegion / Jugendfußball",,2022,6,12,14,54,0_0,0.9997717,0,0.9999607,2022-06-12,0
118855,1581005743318175745,julesgdl,@JustStop_Oil Why art? Why don't you choose another target? That's a false dichotomy to put art and life against.Is art of cost of living crisis? Of climate crisis?,@JustStop_Oil Why art? Why don't you choose another target? That's a false dichotomy to put art and life against.… https://t.co/TFrHi88WVd,[],https://twitter.com/i/web/status/1581005743318175745,twitter.com,0,0,en,,,92698310,"Tlaquepaque, Jalisco",None,2424,46271,65535,🅴 Coordinador del equipo de la #LataDeAtún 2024 | #Julesismo 𓃵,,2022,10,14,19,35,0_0,0.9993071,0,0.9999342,2022-10-14,0
72108,1589004009209499648,LeatherJoseph,@thepatbranch She always was a little Marxist That’s the ultimate goal Climate change is the rouge to usher in communism/Marxism https://t.co/1yLqwTuwFC,@thepatbranch She always was a little Marxist That’s the ultimate goal Climate change is the rouge to usher in… https://t.co/DqZDM0YchJ,[],https://twitter.com/i/web/status/1589004009209499648,twitter.com,1,1,en,,,1088333272487100417,"Los Angeles, CA",None,911,21730,32705,Est.2018 Specializing in artfully crafted leathergoods.(Artist🎨Musician🥁Worship drummer✝Woodworker🔨Designer🇺🇸Patriotic Italian American),,2022,11,5,21,17,0_0,0.9989276,1,0.99737346,2022-11-05,0
123763,1576315491781865472,deSunShineBand,Bill Gates betrapt dat climate change een WEFNew World Order sprookje is.https://t.co/1MB3cstEoK,Bill Gates betrapt dat climate change een WEFNew World Order sprookje is.https://t.co/1MB3cstEoK,[],https://youtu.be/v3XmKoQ-JRQ,youtu.be,2,4,nl,,,1518824903637671936,,None,3526,5416,2011,"Wie zijn immuunsysteem wil verbeteren, moet eerst immuun worden voor het systeem...",,2022,10,1,20,57,0_0,0.9996823,0,0.9999621,2022-10-01,0
224562,1594125979286315009,JimStraw1971,"@TheLeoTerrell @nypmetro He doesn't give a damn about his carbon footprint, fellow Americans or the good lords earth. He shouldn't be allowed to be called a reverend. He should never mention climate change.","@TheLeoTerrell @nypmetro He doesn't give a damn about his carbon footprint, fellow Americans or the good lords eart… https://t.co/BNZv2CtNzu",[],https://twitter.com/i/web/status/1594125979286315009,twitter.com,0,0,en,,,1586080723168960512,,None,7,311,373,,,2022,11,20,0,30,0_0,0.9995825,0,0.99992716,2022-11-20,0
86151,1565715757689819136,abyssaltech,"@11975MHz It was never about climate change, it's about power and privilege.  The elites want us to eat bugs, so they can eat meat.  Cut down on airlines, so flying becomes a status symbol.","@11975MHz It was never about climate change, it's about power and privilege.  The elites want us to eat bugs, so th… https://t.co/exdar6C36S",[],https://twitter.com/i/web/status/1565715757689819136,twitter.com,0,1,en,,,1104764008232411136,,None,129,41765,10022,,,2022,9,2,14,58,0_0,0.90310186,1,0.9783019,2022-09-02,0
194993,1551276865360302080,Stephen28763279,https://t.co/xyQuRDtX7B,https://t.co/xyQuRDtX7B,[],https://www.theguardian.com/australia-news/2022/jul/13/cop27-summit-must-focus-on-how-world-will-adapt-to-climate-change-says-un-envoy,www.theguardian.com,0,0,und,,,1476645092299468811,,None,48,137,201,,,2022,7,24,18,43,0_0,0.99977404,0,0.9928092,2022-07-24,0
189887,1553293698577874944,auntkatsattic,"Check out this quote from Dr Michael E Mann: ""There's nothing worse, as a climate scientist, than seeing your predictions play out... This is the face of climate change. It's not subtle anymore. It's not far off, distant. It's here now.""  #ClimateActionNow https://t.co/O0YuOtldgU","Check out this quote from Dr Michael E Mann: ""There's nothing worse, as a climate scientist, than seeing your predi… https://t.co/N7gKWSo2op",[],https://twitter.com/i/web/status/1553293698577874944,twitter.com,0,0,en,,,24772313,"Arkansas, USA",None,515,5146,12569,"M.P.A., M.Ed., almost M.Div. Lives in Arkansas, but favorite place to live is #NOLA. (She/her) #SaveSoil #PracticeCharity #Recycle #Progressive",,2022,7,30,8,17,0_0,0.996229,0,0.99994564,2022-07-30,0
201569,1570225012673753088,Its_Miss_Riss,"Clearly none of them have ever read any legislation, haven't read or even understand permitting or permitting reform and don't give a shit about climate change. Their only lot in life is to hate anything remotely left.","Clearly none of them have ever read any legislation, haven't read or even understand permitting or permitting refor… https://t.co/5eQkTGHUPi",[],https://twitter.com/i/web/status/1570225012673753088,twitter.com,0,3,en,,,3004199202,"correct coast, usa",None,8884,65535,65535,I will always cherish the original misconception I had of you.,,2022,9,15,1,36,0_0,0.9991988,0,0.99994814,2022-09-15,0
190935,1567525238807887873,BigDSmith8,"@innomin8 @DrewTumaABC7 Yt Yt Yt, you don't know shit and you're reading wikipedia. You're reading things trying to make a correlation between climate zones and building insulation for some global warming bs.Climate zones have to do with geography, not construction dullard.","@innomin8 @DrewTumaABC7 Yt Yt Yt, you don't know shit and you're reading wikipedia. You're reading things trying… https://t.co/9OrAlVWBJg",[],https://twitter.com/i/web/status/1567525238807887873,twitter.com,0,0,en,,,1562558517797457924,"Lake Forest, California",None,5,25,185,Professional Painter.,,2022,9,7,14,48,0_0,0.99852777,0,0.9956006,2022-09-07,0
172139,1596247806116646912,jnaneswari1,Why?! https://t.co/xeKPfNbEJX @JustinTrudeau,Why?! https://t.co/xeKPfNbEJX @JustinTrudeau,[],https://www.cbsnews.com/news/alaska-farmland-climate-change-boreal-forest/,www.cbsnews.com,0,0,und,,,2785108568,"Mother Earth, here and now.",None,990,65535,65535,Nature 1st paradigm. This takes wisdom & humility. Are humans up to it? Meanwhile I am a corporation with perfect rights. #plastickills #freebirthcontrol,,2022,11,25,21,1,0_0,0.9997818,0,0.9960005,2022-11-25,0
172594,1536078020796203009,RBurke133,@DawnTJ90 “Scientific American” publishes article where someone “suspects” that something “may be” related to climate change.  How completely stupid.,@DawnTJ90 “Scientific American” publishes article where someone “suspects” that something “may be” related to clima… https://t.co/mhz8EqwJ5j,[],https://twitter.com/i/web/status/1536078020796203009,twitter.com,0,0,en,,,1355670319,"Illinois, USA",None,32,7063,1912,,,2022,6,12,20,8,0_0,0.5287314,1,0.961171,2022-06-12,0
233351,1573515143794892801,AJenkin07170330,@GavinWax because climate change,@GavinWax because climate change,[],,,0,0,en,,,1445195882052431874,here,None,57,15688,3983,Bio,,2022,9,24,3,30,0_0,0.9997028,0,0.999936,2022-09-24,0
84916,1550519742535847937,boofcario,@SharkleBunwich @SusanPrice4 Climate change = Record heatwave = dry land that catches fire easily = house fires,@SharkleBunwich @SusanPrice4 Climate change = Record heatwave = dry land that catches fire easily = house fires,[],,,0,1,en,,,16918237,South Florida,None,2009,65535,39802,☕ 28 ☕ he/him ☕ Bear/Wolf ☕ 💚@generalspyro ☕ Software Engineer ☕ MS in AI ☕ unstoppable force ☕ immovable object ☕,,2022,7,22,16,34,0_0,0.9995163,0,0.999909,2022-07-22,0
84001,1540323930191298560,EuBob_Danner,"@JackPosobiec TRUE definition of Global Warming:""Whereby the WICKED SOULS of this world are 'PREMATURELY ROASTING' for their INIQUITIES here on earth before heading to their eternal resting place.""","@JackPosobiec TRUE definition of Global Warming:""Whereby the WICKED SOULS of this world are 'PREMATURELY ROASTING… https://t.co/QMD0pIGFEy",[],https://twitter.com/i/web/status/1540323930191298560,twitter.com,0,0,en,,,2430908209,"Martinez, GA",None,5,3498,508,University of Alabama - Master of Science in Human Environmental Sciences ~ Interactive Technology,,2022,6,24,13,20,0_0,0.9997733,0,0.9983515,2022-06-24,0
203070,1589989456077283328,LGe71072744,"@RZitelmann @guidoquelle @ulfposh Ist ""welt aus den Angeln heben"" eine Anspielung auf den Klimawandel?","@RZitelmann @guidoquelle @ulfposh Ist ""welt aus den Angeln heben"" eine Anspielung auf den Klimawandel?",[],,,0,0,de,,,1433408810564083717,,None,6,1713,1637,"Willkommen im Zeitalter des Narzissmus!Wenn Kapitalerträge größer als Wirtschaftswachstum, steigt soziale Ungleichheit. Und damit die AfD.#Vermögenssteuer",,2022,11,8,14,33,0_0,0.9997724,0,0.99996585,2022-11-08,0
220660,1547924830300672002,SilverPenny6,@RetroCrone No words. Except that it's so maddening the way that the US is acting regarding climate change. And we can't shoot our way out of this one. https://t.co/bMeIVx8d16,@RetroCrone No words. Except that it's so maddening the way that the US is acting regarding climate change. And we… https://t.co/ojkh92oVDZ,[],https://twitter.com/i/web/status/1547924830300672002,twitter.com,0,1,en,,,1328749911257583618,Earth.,None,389,19079,1352,"Be brave, be authentic, speak truth to power. Proud Anti-Fascist. I have no time for bser's, whiners, and guys who think this is Tinder.",,2022,7,15,12,43,0_0,0.9996788,0,0.999957,2022-07-15,0
2435,1562029714071556099,JohnChellappa2,@ACTBrigitte Choice Americans face. A Vote for Democrats is a vote against obstructionist Republicans who voted against:- healthcare- lowering/capping seniors prescription drug prices at $2000- capping insulin costs at $35- veterans care- assault weapons- climate crisis - womens rights,@ACTBrigitte Choice Americans face. A Vote for Democrats is a vote against obstructionist Republicans who voted aga… https://t.co/PNWdGnWJD7,[],https://twitter.com/i/web/status/1562029714071556099,twitter.com,0,0,en,,,1238449784446427138,,None,143,57776,65535,"Profession: DHA, MS, MBA; Board/Executive Leadership; Passion:To Inspire/Impact Lives via songs/music videos I’ve written/produced.",,2022,8,23,10,51,0_0,0.99964076,0,0.9999651,2022-08-23,0
157359,1540226076533788673,bryonytweets,"@GeorgeMonbiot So much has been destroyed, so much suffering caused, and the time lost addressing the Climate Emergency is irreplaceable.","@GeorgeMonbiot So much has been destroyed, so much suffering caused, and the time lost addressing the Climate Emergency is irreplaceable.",[],,,0,2,en,,,1674147222,,None,76,4333,1288,"Prison Chaplain, Tea Drinker, European, Guardian Reader, Greenbelter, border-dweller.",,2022,6,24,6,51,0_0,0.99944067,0,0.99995685,2022-06-24,0
253698,1559175538249383936,FredPageSF,A new study by Science Advances shows #climatechange has already doubled the chances of a disastrous flood happening in California in the next four decades. And experts say it would be unlike anything anyone alive today has ever experienced. https://t.co/7XUv4uuIAH via @mercnews,A new study by Science Advances shows #climatechange has already doubled the chances of a disastrous flood happenin… https://t.co/udGhhB9bnR,"[{'text': 'climatechange', 'indices': [38, 52]}]",https://twitter.com/i/web/status/1559175538249383936,twitter.com,0,1,en,38.5617218,-121.469664,99919360,"El Dorado National Forest, CA",None,13825,13776,16065,"Welcome! I support human & animal rights, diversity, inclusion & gender equality. 🏳️‍🌈 “All peoples have the right to self-determination.” 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🎗️",,2022,8,15,13,49,0_0,0.9990941,0,0.99997014,2022-08-15,0
75108,1557220510630436864,DavidGr07837209,"Rain, rain go away? Climate change and Death Valley's deluge https://t.co/l2zp7jC6Ut","Rain, rain go away? Climate change and Death Valley's deluge https://t.co/l2zp7jC6Ut",[],https://www.resilience.org/stories/2022-08-07/rain-rain-go-away-climate-change-and-death-valleys-deluge/,www.resilience.org,0,0,en,,,1191855827667128320,"Melbourne, Victoria, Australia",None,4412,711,65535,"Co-operator, co-operation, co-operative values and principles, democracy instead of plutocracy, equality and solidarity with trade unions, truth and facts.",,2022,8,10,4,21,0_0,0.9997908,0,0.9999401,2022-08-10,0
89485,1544924606309355521,MohanaBasu,Climate change will hit solar &amp; wind energy in India. Researchers from IITM show that solar and wind energy potential are likely to decline for some parts of the country. I report for ThePrinthttps://t.co/i7zLsVDqdP,Climate change will hit solar &amp; wind energy in India. Researchers from IITM show that solar and wind energy potenti… https://t.co/r43zalDF2q,[],https://twitter.com/i/web/status/1544924606309355521,twitter.com,3,7,en,,,778625737737678848,"New Delhi, India",None,3831,8689,3395,"Special Correspondent (Science, Health) @ThePrintIndia. Previously @PTI_news. Sometimes need cinnamon in my black coffee.✉️ mohana.basu@gmail.com",,2022,7,7,6,1,4_4,0.9975855,0,0.99989927,2022-07-07,1
222662,1570003480122736641,karaandbozi,How climate change is tweaking the taste of wine https://t.co/5jSY0anxTk @BBC_Future aracılığıyla,How climate change is tweaking the taste of wine https://t.co/5jSY0anxTk @BBC_Future aracılığıyla,[],https://www.bbc.com/future/article/20220825-how-climate-change-affects-wine?ocid=ww.social.link.twitter,www.bbc.com,0,0,tr,,,748259354164535300,,None,68,7144,4884,,,2022,9,14,10,56,0_0,0.99977154,0,0.99997044,2022-09-14,0
187179,1587027349228244993,cafodportsmouth,Have you signed our email action to the Foreign Secretary to ask the Government to take the action necessary to end the climate emergency?  🌎#Climatecrisis @PortsmouthRC  @BishopEgan If not please sign today 👇https://t.co/4cpLMl6vrC,Have you signed our email action to the Foreign Secretary to ask the Government to take the action necessary to end… https://t.co/pombyA9m3J,[],https://twitter.com/i/web/status/1587027349228244993,twitter.com,0,0,en,,,219296170,Aldershot,None,613,1338,2754,Bringing you all the CAFOD latest news from the Portsmouth diocese!,,2022,10,31,10,23,0_0,0.9996413,0,0.99997056,2022-10-31,0
178669,1548270086405861378,KathyConWom,There is no evidence whatsoever that the heatwave is a “consequence” of climate change ! What is dangerous is @SadiqKhan's irresponsible misleading of the public.https://t.co/ddpHrj8AJT#heatwave,There is no evidence whatsoever that the heatwave is a “consequence” of climate change ! What is dangerous is… https://t.co/JeTLMpX4VW,[],https://twitter.com/i/web/status/1548270086405861378,twitter.com,33,111,en,,,301326338,London SW1,None,31624,7784,40497,"Editor of TCW, the reliable alternative to the biased #MSM. We are committed to social conservatism. 🎤 Listen to our NEW pod, TCW THE PODCAST. @TheConWom",,2022,7,16,11,35,1_7,0.9776959,1,0.998259,2022-07-16,1
75952,1568320615240683528,SiriuslyIMBack,"Global Warming? Yup. It's a thing. Except think bigger than Earth. Our planet has a pretty big natural conductor for a core... It's no secret that electrical resistance creates thermal energy.It's no secret that all eyes are on the cosmos again, either.#ClimateCrisis ?",Global Warming? Yup. It's a thing. Except think bigger than Earth. Our planet has a pretty big natural conductor fo… https://t.co/r2RLyD2Tj1,[],https://twitter.com/i/web/status/1568320615240683528,twitter.com,2,0,en,,,1567558252237574150,Earth,None,2,54,29,Mostly Harmless.I'm just me. Whatever that might require for whoever I may be required to become.,,2022,9,9,19,29,0_0,0.99439955,0,0.9980657,2022-09-09,0
16774,1549963712110403590,alcontent416,"@winegumm @TorontoStar You should probably do a bit of self-reflection. It's not just about climate change, it's about having maybe a little bit of awareness of your privilege.Enjoy exploiting others while the planet burns, people starve, and you stare at your phone on some beach you don't belong.","@winegumm @TorontoStar You should probably do a bit of self-reflection. It's not just about climate change, it's ab… https://t.co/3LZpnUpr75",[],https://twitter.com/i/web/status/1549963712110403590,twitter.com,0,0,en,,,1399643912017436673,Tkaronto,None,1389,7591,7325,🏴🚩∞🏳️‍⚧️∞🏴🚩 | TS | they/themPurveyor of Doom and LampoonPodcast + Streaming + Research + Writerstream:https://t.co/N5YNKd5j6O | video:https://t.co/6PfbR2Whog,,2022,7,21,3,45,0_0,0.9991868,0,0.99981976,2022-07-21,0
84258,1544323948573237251,dzav,"This is like when the news celebrates a kid’s bake sale to raise money for his mom’s chemo. This isn’t cute, this is climate change. https://t.co/dAxqBRbD0o","This is like when the news celebrates a kid’s bake sale to raise money for his mom’s chemo. This isn’t cute, this i… https://t.co/CsNlEi9Oir",[],https://twitter.com/i/web/status/1544323948573237251,twitter.com,0,0,en,,,16991258,OH-IO,None,1112,65535,49076,"I like Cleveland, roadtrips, and freeze-pops.",,2022,7,5,14,14,0_0,0.9990939,0,0.9994827,2022-07-05,0
9607,1589594792656179200,joselazorivera,How can the private sector serve as a catalyst for action on climate change? 🌍 Don’t miss @Deloitte's  Livestream tomorrow where panelists will outline pathways to rapidly scale ambition around the climate imperative. Register today. #COP27 https://t.co/qrO4D8wWru,How can the private sector serve as a catalyst for action on climate change? 🌍 Don’t miss @Deloitte's  Livestream t… https://t.co/OdsKVQ05Fl,[],https://twitter.com/i/web/status/1589594792656179200,twitter.com,0,0,en,,,3731662579,"San Juan, Puerto Rico",None,222,946,1218,Planeteer 🌎 | Puerto Rican 🇵🇷 | Sustainability & ESG Senior Consultant | Coffee & wine enthusiast ☕️ 🍷 | Views my own.,,2022,11,7,12,25,0_0,0.9997563,0,0.99997145,2022-11-07,0
191995,1581897131820224513,HazukiObservant,アラスカベーリング海でズワイガニ推定１０億匹が消えた為に今シーズンの漁がキャンセルされたベーリング海ではここ数年海水温が上昇していた為、関連を調査https://t.co/1RcYD1D1TG,アラスカベーリング海でズワイガニ推定１０億匹が消えた為に今シーズンの漁がキャンセルされたベーリング海ではここ数年海水温が上昇していた為、関連を調査https://t.co/1RcYD1D1TG,[],https://www.cbsnews.com/news/fishing-alaska-snow-crab-season-canceled-investigation-climate-change/,www.cbsnews.com,0,6,ja,,,1279665953068863489,とーきょーとー,None,857,65535,65535,がくせーひとりごとー好きな言葉Every work can all go spread out to the world!!icon：𝐋𝐚𝐲𝐥𝐚.さん ⚜@Layla_box,,2022,10,17,6,37,0_0,0.9997602,0,0.99436903,2022-10-17,0
22608,1556500205692162048,dm211060,Correct. So the Shadow assistant minister for climate change and energy is speaking out of bad faith or ignorance or both. Strong betting for both. https://t.co/3CXff14sdm,Correct. So the Shadow assistant minister for climate change and energy is speaking out of bad faith or ignorance o… https://t.co/89ajVYJ53j,[],https://twitter.com/i/web/status/1556500205692162048,twitter.com,0,0,en,,,1870504441,"Marrickville, Sydney",None,73,986,1280,Aust Human Rights Commission 1988-2014; environment and climate policy work and some human rights consulting 2014 -,,2022,8,8,4,39,0_0,0.98161924,0,0.9999139,2022-08-08,0
52265,1536756835872428033,hotboychina,"@Its_AntManDrake @benshapiro @dbongino I have nothing against straight people but I sure do have an issue with making everything straight. If everyone turns straight eventually, how will humans survive the overpopulation of this earth that will lead to further climate crisis?",@Its_AntManDrake @benshapiro @dbongino I have nothing against straight people but I sure do have an issue with maki… https://t.co/WkPFPEcWmR,[],https://twitter.com/i/web/status/1536756835872428033,twitter.com,0,217,en,,,1434927522,AZ,None,81,4088,14062,"gigantic furfag, complainer,  shitposter supreme. i hate everything -- except arguing online with strangers.",,2022,6,14,17,5,0_0,0.9996013,0,0.99988633,2022-06-14,0
237215,1554775221068070914,SMGuy691,Someone must own a Alder Lake CPU in my town it's going to be 90F+ outside time to crank up the ACBring it on climate change,Someone must own a Alder Lake CPU in my town it's going to be 90F+ outside time to crank up the ACBring it on climate change,[],,,0,1,en,,,739654984816529410,,None,113,10865,9682,"LinusTechTips CPUguy101Reddit & https://t.co/8SD4X3kXVP PolkfanYouTube JD-Gaming, INFJ Personality type ""Taylor Swift is better than U""Performance per watt is king",,2022,8,3,10,24,0_0,0.9994196,0,0.9997383,2022-08-03,0
48431,1552231762314534913,Planet_Pod,"Amsterdam is the first airport to limit flights to combat #ClimateChange 👏""In any case, by putting the environment before profits, #Schiphol is potentially showing how the aviation industry can act to slow global warming and avert the climate crisis.""https://t.co/LgoiYLNxuM","Amsterdam is the first airport to limit flights to combat #ClimateChange 👏""In any case, by putting the environmen… https://t.co/3O4cZfSDcw","[{'text': 'ClimateChange', 'indices': [58, 72]}]",https://twitter.com/i/web/status/1552231762314534913,twitter.com,1,3,en,,,976044845470011393,,None,2555,8352,5396,An independent non-profit making #podcast about the things that really matter from the people behind the headlines.,,2022,7,27,9,57,0_0,0.99966437,0,0.9999707,2022-07-27,0
